"Login with Facebook Account","Login with Facebook Account"
"Invite Friends","Invite Friends"
"Facebook connection failed","Facebook connection failed"
"Service temporarily unavailable","Service temporarily unavailable"
"Email address is required","Email address is required"
"Facebook profile can\'t provide all required info, please register and then connect with Facebook for fast login.","Facebook profile can\'t provide all required info, please register and then connect with Facebook for fast login."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime."
